countryiso3code,country_name,internet_usage_pct,internet_usage_pct_year,mobile_subscriptions_per_100_year,mobile_subscriptions_per_100,population_year,population,gdp_per_capita_year,gdp_per_capita,rural_population_pct_year,rural_population_pct,latest_year,earliest_year,year_spread,complete_core_data,usage_gap_pp,population_affected_est,gap_score,population_impact_score,rural_score,economic_vulnerability_score,priority_score,priority_band,data_confidence,priority_score_alt,rank_base,rank_alt,rank_change,diagnostic_segment,display_rank
TGO,Togo,39.48320007,2024,2024,80.8035554767112,2025,8591626.0,2025,1383.89974929887,2025,55.6050107925601,2025,2024,1,True,40.51679993,3481051.9171538614,83.33333333333334,78.43137254901961,75.49019607843137,85.7843137254902,81.1764705882353,Higher,High,80.68627450980392,33.0,34.0,-1.0,Rural / access investigation,33
SLB,Solomon Islands,29.04070091,2024,2022,62.0734995506142,2025,838645.0,2025,2086.18955928928,2025,68.6906809674582,2025,2022,3,True,50.95929909,427367.61385333055,89.70588235294117,67.15686274509804,89.2156862745098,80.88235294117646,81.10294117647058,Higher,Medium,78.84803921568627,34.0,41.0,-7.0,Rural / access investigation,34
SYR,Syrian Arab Republic,33.77000046,2018,2024,71.2231424453527,2025,25620427.0,2022,1056.78264718197,2025,27.9163713791482,2025,2018,7,True,46.22999954,11844323.284246037,86.27450980392157,88.23529411764706,36.27450980392157,92.15686274509804,80.5392156862745,Higher,Low,80.73529411764706,35.0,33.0,2.0,Affordability / economic investigation,35
IND,India,70.0,2025,2024,79.3526921826412,2025,1463865525.0,2025,2702.47987141553,2025,64.310844227604,2025,2024,1,True,10.0,146386552.5,64.2156862745098,100.0,84.31372549019608,76.9607843137255,80.51470588235294,Higher,High,84.09313725490196,36.0,29.0,7.0,Rural / access investigation,36
TJK,Tajikistan,55.79339981,2024,2023,76.215892145748,2025,10786734.0,2025,1637.2542942547,2025,73.83523729147,2025,2023,2,True,24.206600190000003,2611101.572938795,75.49019607843137,76.9607843137255,93.62745098039215,83.82352941176471,80.31862745098039,Higher,Medium,80.4656862745098,37.0,36.0,1.0,Rural / access investigation,37
CIV,Cote d'Ivoire,41.43219902,2024,2024,183.875985110648,2025,32711547.0,2025,3050.10202257321,2025,45.4510498549239,2025,2024,1,True,38.56780098,12616124.34443916,81.37254901960785,89.2156862745098,66.66666666666666,75.0,80.24509803921569,Higher,High,81.02941176470588,38.0,32.0,6.0,Rural / access investigation,38
TKM,Turkmenistan,17.99029922,2016,2021,88.1929367884543,2025,7618847.0,2025,6540.17876401136,2025,52.8946391746253,2025,2016,9,True,62.00970078,4724424.227586007,95.58823529411765,80.88235294117648,71.56862745098039,58.33333333333333,80.12254901960785,Higher,Low,78.65196078431374,39.0,42.0,-3.0,Rural / access investigation,39
ZWE,Zimbabwe,41.64279938,2024,2024,94.2451753366358,2025,16950795.0,2025,3021.43019873632,2025,59.5048712568548,2025,2024,1,True,38.35720062,6501850.444834929,80.88235294117648,82.84313725490196,78.92156862745098,75.49019607843138,80.09803921568627,Higher,High,80.29411764705884,40.0,38.0,2.0,Rural / access investigation,40
CMR,Cameroon,46.25880051,2024,2024,108.213130152497,2025,29879337.0,2025,1972.3815800786,2025,44.3307958338677,2025,2024,1,True,33.74119949,10081646.70345938,79.41176470588235,86.27450980392157,65.19607843137256,81.86274509803921,79.82843137254902,Higher,High,80.51470588235294,41.0,35.0,6.0,Rural / access investigation,41
COM,Comoros,32.51750183,2024,2023,109.855630436495,2025,882847.0,2025,2055.75921566281,2025,66.058452518639,2025,2023,2,True,47.48249817,419197.8106189,87.25490196078431,66.66666666666666,85.7843137254902,81.37254901960785,79.6813725490196,Higher,Medium,77.62254901960785,42.0,44.0,-2.0,Rural / access investigation,42
VUT,Vanuatu,22.35140038,2015,2023,89.2943082123161,2025,335169.0,2025,4038.73520713411,2025,77.6780111163278,2025,2015,10,True,57.64859962,193220.2348603578,91.66666666666666,63.725490196078425,96.56862745098039,69.11764705882354,79.50980392156862,Higher,Low,76.7156862745098,43.0,47.0,-4.0,Rural / access investigation,43
LKA,Sri Lanka,54.59,2024,2024,132.548743018664,2025,21756000.0,2025,5002.07904353724,2025,79.5498644832063,2025,2024,1,True,25.41,5528199.599999999,75.98039215686273,81.86274509803921,98.0392156862745,64.2156862745098,78.70098039215685,Higher,High,79.2892156862745,44.0,40.0,4.0,Rural / access investigation,44
LSO,Lesotho,51.79660034,2024,2024,70.328049309004,2025,2363325.0,2025,1088.96276223185,2025,55.3304144182891,2025,2024,1,True,28.20339966,666537.9950146951,76.9607843137255,70.09803921568627,74.50980392156863,91.17647058823529,77.37745098039215,Higher,High,76.69117647058823,45.0,48.0,-3.0,Rural / access investigation,45
NPL,Nepal,46.32189941,2024,2024,99.8471420273964,2025,29618118.0,2025,1535.87781246307,2025,33.000575115141,2025,2024,1,True,33.67810059,9974819.572904896,78.92156862745098,85.7843137254902,45.09803921568628,84.80392156862746,77.08333333333334,Higher,High,77.76960784313727,46.0,43.0,3.0,Affordability / economic investigation,46
HTI,Haiti,47.8614006,2024,2022,65.1889329311174,2025,11906095.0,2025,2694.18969101404,2025,44.3851144140058,2025,2022,3,True,32.1385994,3826452.17623343,77.94117647058823,80.3921568627451,65.68627450980392,77.45098039215686,76.74019607843137,Higher,Medium,76.98529411764706,47.0,46.0,1.0,Rural / access investigation,47
AGO,Angola,40.70479965,2024,2024,69.7039467163584,2025,39040039.0,2025,3129.47662331063,2025,28.5384084823915,2025,2024,1,True,39.29520035,15340861.541768136,82.35294117647058,91.66666666666666,37.745098039215684,73.52941176470588,76.69117647058823,Higher,High,77.62254901960785,48.0,44.0,4.0,Affordability / economic investigation,48
SEN,Senegal,60.11780167,2024,2024,123.894453697506,2025,18931966.0,2025,1954.71174194867,2025,44.2327505544754,2025,2024,1,True,19.88219833,3764091.027888168,73.0392156862745,79.90196078431373,64.70588235294117,82.35294117647058,75.71078431372548,Higher,High,76.3970588235294,49.0,50.0,-1.0,Rural / access investigation,49
FSM,"Micronesia, Fed. Sts.",39.52360153,2024,2022,19.9885830493962,2025,113683.0,2025,4414.00737137479,2025,77.5190709377297,2025,2022,3,True,40.47639847,46014.7840726501,82.84313725490196,60.78431372549019,96.07843137254902,67.15686274509804,75.07352941176471,Higher,Medium,72.86764705882354,50.0,58.0,-8.0,Rural / access investigation,50
MRT,Mauritania,45.77939987,2024,2024,92.0748946443443,2025,5315065.0,2025,2197.51046251309,2025,38.5111809462304,2025,2024,1,True,34.22060013,1818847.1402995845,79.90196078431373,75.0,56.372549019607845,80.3921568627451,75.0,Higher,High,74.50980392156862,51.0,52.0,-1.0,Rural / access investigation,51
GMB,"Gambia, The",49.49430084,2024,2024,126.243773523653,2025,2822093.0,2025,919.060423427951,2025,35.0115138674419,2025,2024,1,True,30.50569916,860899.2005954188,77.45098039215686,71.07843137254902,49.01960784313725,93.62745098039215,74.50980392156862,Higher,High,73.87254901960785,52.0,55.0,-3.0,Affordability / economic investigation,52
PHL,Philippines,67.26300914,2024,2024,115.298749599352,2025,116786962.0,2025,4170.72347271451,2025,44.2267092394668,2025,2024,1,True,12.736990860000006,14875144.67561168,67.64705882352942,91.17647058823529,64.2156862745098,67.64705882352942,74.19117647058823,Higher,High,76.54411764705883,53.0,49.0,4.0,Rural / access investigation,53
LAO,Lao PDR,65.59269714,2024,2023,64.7588066942788,2025,7873046.0,2025,2324.76353098791,2025,59.6870164959299,2025,2023,2,True,14.40730286,1134293.5815271158,69.11764705882352,73.52941176470588,79.41176470588235,79.90196078431373,74.1421568627451,Higher,Medium,74.58333333333333,54.0,51.0,3.0,Rural / access investigation,54
COG,"Congo, Rep.",47.25159836,2024,2024,95.5319320614796,2025,6484437.0,2025,2514.73393584747,2025,35.8763465182588,2025,2024,1,True,32.74840164,2123549.4728527665,78.43137254901961,75.98039215686273,50.0,78.92156862745098,73.52941176470588,Higher,High,73.2843137254902,55.0,57.0,-2.0,Affordability / economic investigation,55
KHM,Cambodia,68.47530365,2024,2024,116.091961125929,2025,17847982.0,2025,2872.42926639909,2025,58.89438060599,2025,2024,1,True,11.52469635,2056925.7301026569,65.68627450980392,75.49019607843137,78.43137254901961,76.47058823529412,72.69607843137254,Higher,High,73.67647058823529,56.0,56.0,0.0,Rural / access investigation,56
